1,9
1,2
4,78
4,68
5,7
5,81
6,20
6,0
7,74
7,48
8,39
8,24
9,62
12,71
12,65
16,55
16,43
17,79
17,34
18,8
18,5
20,17
20,50
21,56
21,49
22,57
22,69
23,11
23,27
24,13
24,36
25,18
26,29
26,1
27,58
27,44
28,32
28,60
29,10
29,19
30,67
30,52
31,41
31,61
34,28
34,25
35,42
35,58
35,70
35,51
35,64
35,67
35,72
35,73
35,76
35,7
35,80
35,77
35,83
35,20
35,4
35,46
37,40
37,15
38,38
38,14
40,21
40,6
41,23
41,37
43,30
43,47
44,54
44,35
45,12
45,22
46,53
46,26
47,33
47,45
49,82
52,3
53,66
53,75
54,63
54,16
56,31
56,59
